"tick","Susceptible","Exposed","Infected","Immune","Dead"
378,288067,5199,6226,489,19
379,287944,5239,6304,494,19
380,287819,5305,6358,498,20
381,287702,5362,6415,501,20
382,287612,5410,6454,504,20
383,287510,5458,6502,509,21
384,287420,5477,6568,514,21
385,287307,5523,6630,519,21
386,287223,5535,6698,523,21
387,287127,5561,6761,528,23
388,287017,5590,6835,535,23
389,286912,5627,6898,540,23
390,286779,5689,6959,550,23
391,286645,5743,7033,556,23
392,286526,5787,7104,560,23
393,286411,5846,7151,569,23
394,286273,5922,7207,575,23
395,286152,5982,7261,582,23
396,286011,6069,7306,590,24
397,285903,6103,7377,593,24
398,285767,6168,7439,602,24
399,285662,6218,7485,611,24
400,285544,6280,7533,619,24
401,285448,6308,7592,628,24
402,285322,6352,7667,634,25
403,285192,6423,7720,640,25
404,285072,6469,7786,647,26
405,284938,6522,7862,652,26
406,284812,6574,7933,655,26
407,284699,6609,8005,661,26
408,284580,6636,8089,668,27
409,284440,6685,8175,673,27
410,284316,6738,8240,679,27
411,284180,6796,8312,685,27
412,284047,6853,8382,691,27
413,283905,6916,8456,696,27
414,283776,6956,8542,699,27
415,283637,7007,8625,704,27
416,283479,7075,8708,711,27
417,283318,7158,8777,720,27
418,283137,7262,8848,726,27
419,282987,7319,8938,729,27
420,282838,7385,9012,736,29
421,282685,7455,9092,739,29
422,282532,7533,9159,747,29
423,282382,7589,9246,754,29
424,282217,7661,9327,766,29
425,282048,7753,9400,770,29
426,281901,7803,9487,780,29
427,281726,7902,9556,786,30
428,281563,7956,9658,793,30
429,281395,8021,9753,801,30
430,281222,8112,9827,809,30
431,281064,8193,9901,812,30
432,280926,8241,9985,818,30
433,280760,8296,10086,827,31
434,280606,8350,10177,836,31
435,280447,8415,10259,846,33
436,280302,8459,10355,851,33
437,280151,8518,10439,859,33
438,279985,8588,10522,871,34
439,279807,8649,10629,881,34
440,279638,8716,10723,889,34
441,279463,8792,10814,897,34
